Lp.;Nr_umowy;Data poczatku okresu ubezpieczenia;Data konca okresu ubezpieczenia;SU_v_PML;Odnow;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo;Adres_Kraj;ReasekuracjaO;ReasekuracjaF
695;M10142175504;12.07.2021;11.07.2022;320000;TAK;Krakowska 2a;66-100;Krężoły;lubuskie;Polska;1,2;
696;M10142209204;12.07.2021;11.07.2022;210000;TAK;Rybaki 20;72-600;Świnoujście;zachodniopomorskie;Polska;1,2;
697;M1014236010;18.04.2021;17.04.2022;440000;TAK;Tęczowa 14;72-112;Stepnica;zachodniopomorskie;Polska;1,2;
698;M10142526304;10.08.2021;09.08.2022;420000;TAK;Łukowska 50;04-133;Warszawa;mazowieckie;Polska;1,2;
699;M1014276710;01.06.2021;31.05.2022;70000;TAK;Grodzieńska 4/8;94-016;Łódź;łódzkie;Polska;1,2;
700;M10143684904;25.08.2021;24.08.2022;1020000;TAK;Świerkowa 16A;05-502;Kamionka;mazowieckie;Polska;1,2;
701;M10143689204;01.08.2021;31.07.2022;600000;TAK;Józefa Piłsudskiego 200a;41-707;Ruda Śląska;śląskie;Polska;1,2;
702;M1014380110;13.04.2021;12.04.2022;715000;TAK;Dereniowa 2;02-776;Warszawa;mazowieckie;Polska;1,2;
703;M10144060604;12.07.2021;11.07.2022;400000;TAK;Letnia 27;64-020;Nowe Borówko;wielkopolskie;Polska;1,2;
704;M10144425404;04.08.2021;03.08.2022;1100000;TAK;Holenderska 18D;75-430;Koszalin;zachodniopomorskie;Polska;1,2;
705;M10144529404;17.07.2021;16.07.2022;430000;TAK;Sikorskiego 96;05-200;Wołomin;mazowieckie;Polska;1,2;
706;M10144534504;12.07.2021;11.07.2022;340000;TAK;Słoneczna 15;39-312;Dulcza Wielka;podkarpackie;Polska;1,2;
707;M10144546104;15.07.2021;14.07.2022;410000;TAK;Strumykowa 69;03-138;Warszawa;mazowieckie;Polska;1,2;
708;M1014473310;01.06.2021;31.05.2022;90000;TAK;Lipowa 1;59-950;Ruszów;dolnośląskie;Polska;1,2;
709;M10144797504;12.07.2021;11.07.2022;400000;TAK;Nowa Kornica 37A;08-205;Nowa Kornica;mazowieckie;Polska;1,2;
710;M1014482510;07.05.2021;06.05.2022;410000;TAK;Pereca Icchaka Lejba 13/19;00-849;Warszawa;mazowieckie;Polska;1,2;
711;M1014493710;01.09.2021;31.08.2022;230000;TAK;Dambonia Alojzego 99;45-861;Opole;opolskie;Polska;1,2;
712;M10145016404;24.07.2021;23.07.2022;210000;TAK;Sosnowa 8;16-200;Dąbrowa Białostocka;podlaskie;Polska;1,2;
713;M1014515210;05.05.2021;04.05.2022;740000;TAK;Rolna 161a;02-729;Warszawa;mazowieckie;Polska;1,2;
714;M10145214304;12.07.2021;11.07.2022;316000;TAK;Depułtycze Królewskie-Kolonia 42a;22-100;Depułtycze Królewskie-Kolonia;lubelskie;Polska;1,2;
715;M10145216804;12.07.2021;11.07.2022;85000;TAK;Brązowa 43;70-781;Szczecin;zachodniopomorskie;Polska;1,2;
716;M10145296004;12.07.2021;11.07.2022;300000;TAK;Helenów Drugi 104;62-563;Helenów Drugi;wielkopolskie;Polska;1,2;
717;M10145303604;21.09.2021;20.09.2022;850000;TAK;Brzozowa 3;62-005;Promnice;wielkopolskie;Polska;1,2;
718;M10145482104;19.07.2021;18.07.2022;160000;TAK;Osiedle Centrum 10;64-330;Opalenica;wielkopolskie;Polska;1,2;
719;M10146243004;31.07.2021;30.07.2022;305000;TAK;Rymarska 2;95-100;Zgierz;łódzkie;Polska;1,2;
720;M10146558904;12.07.2021;11.07.2022;210000;TAK;Przybysław 19;88-133;Przybysław;kujawsko-pomorskie;Polska;1,2;
721;M1014656010;15.08.2021;14.08.2022;220000;TAK;Dębowa 3;05-804;Pruszków;mazowieckie;Polska;1,2;
722;M1014673510;30.07.2021;29.07.2022;240000;TAK;Puławska 176a;02-670;Warszawa;mazowieckie;Polska;1,2;
723;M1014701410;10.04.2021;09.04.2022;560000;TAK;Bellottiego Józefa 5;01-022;Warszawa;mazowieckie;Polska;1,2;
724;M1014704410;04.05.2021;03.05.2022;260000;TAK;Ruska 10;92-319;Łódź;łódzkie;Polska;1,2;
725;M1014749510;01.05.2021;30.04.2022;460000;TAK;Reymonta 29;05-091;Ząbki;mazowieckie;Polska;1,2;
726;M1014756610;13.04.2021;12.04.2022;460000;TAK;Sokołowska 5;01-142;Warszawa;mazowieckie;Polska;1,2;
727;M1014758710;20.05.2021;19.05.2022;300000;TAK;Jabłoniowa 23c;80-175;Gdańsk;pomorskie;Polska;1,2;
728;M1014768610;01.05.2021;30.04.2022;320000;TAK;Łabiszyńska 23a;03-204;Warszawa;mazowieckie;Polska;1,2;
729;M1014769310;16.04.2021;15.04.2022;400000;TAK;Skrzetuskiego 28;02-726;Warszawa;mazowieckie;Polska;1,2;
730;M10147893304;12.07.2021;11.07.2022;540000;TAK;Pod Bateriami 51;05-502;Piaseczno;mazowieckie;Polska;1,2;
731;M10147977504;29.07.2021;28.07.2022;485000;TAK;Strumykowa 40;03-138;Warszawa;mazowieckie;Polska;1,2;
732;M10148261404;12.07.2021;11.07.2022;348484;TAK;gen. Jana Henryka Dąbrowskiego 30;50-457;Wrocław;dolnośląskie;Polska;1,2;
733;M10149326204;23.07.2021;22.07.2022;225720;TAK;Marii Zientary-Malewskiej 31;10-307;Olsztyn;warmińsko-mazurskie;Polska;1,2;
734;M10149330904;02.08.2021;01.08.2022;50000;TAK;Oświecenia 8;31-635;Kraków;małopolskie;Polska;1,2;
735;M1014956610;15.04.2021;14.04.2022;320000;TAK;11Listopada 18 b;05-270;Marki;mazowieckie;Polska;1,2;
736;M10149715804;12.07.2021;11.07.2022;200000;TAK;Mikołaja Kopernika 15;05-800;Pruszków;mazowieckie;Polska;1,2;
737;M10149820804;01.11.2021;31.10.2022;320000;TAK;Wodna 31;47-260;Zakrzów;opolskie;Polska;1,2;
738;M10149821904;01.08.2021;31.07.2022;110000;TAK;Kiedrzyńska 79;42-215;Częstochowa;śląskie;Polska;1,2;
739;M10150163404;12.07.2021;11.07.2022;500000;TAK;Topolowa 10;41-600;Świętochłowice;śląskie;Polska;1,2;
740;M10151035704;13.07.2021;12.07.2022;670000;TAK;Rakowska 14;02-237;Warszawa;mazowieckie;Polska;1,2;
741;M1015125310;22.04.2021;21.04.2022;300000;TAK;Majdańska 13;04-088;Warszawa;mazowieckie;Polska;1,2;
742;M1015139710;22.04.2021;21.04.2022;360000;TAK;Szymrychowska 5;58-420;Lubawka;dolnośląskie;Polska;1,2;
743;M10153043804;14.07.2021;13.07.2022;550000;TAK;Smyków 43;26-212;Smyków;świętokrzyskie;Polska;1,2;
744;M10153052504;13.07.2021;12.07.2022;90000;TAK;Rzeźnicza 3;57-220;Ziębice;dolnośląskie;Polska;1,2;
745;M1015382510;01.05.2021;30.04.2022;440000;TAK;Stanisława Kazury 6;02-795;Warszawa;mazowieckie;Polska;1,2;
746;M10153913204;14.07.2021;13.07.2022;530000;TAK;Mostowa 16g;55-300;Środa Śląska;dolnośląskie;Polska;1,2;
747;M10153915604;28.07.2021;27.07.2022;310000;TAK;Ślusarska 17;97-300;Piotrków Trybunalski;łódzkie;Polska;1,2;
748;M10153915904;24.08.2021;23.08.2022;183840;TAK;Hawelańska 9;61-625;Poznań;wielkopolskie;Polska;1,2;
749;M10153916304;12.07.2021;11.07.2022;650000;TAK;Zielone Wzgórze 6;80-283;Gdańsk;pomorskie;Polska;1,2;
750;M10153922104;13.07.2021;12.07.2022;210000;TAK;Żytnia 76;87-800;Włocławek;kujawsko-pomorskie;Polska;1,2;
751;M10153936804;01.08.2021;31.07.2022;210000;TAK;Bolesława Chrobrego 17;40-881;Katowice;śląskie;Polska;1,2;
752;M10154000204;25.08.2021;24.08.2022;100000;TAK;Łanowa 32;91-110;Łódź;łódzkie;Polska;1,2;
753;M10154001304;01.08.2021;31.07.2022;131000;TAK;Zwierzyniecka 36;43-382;Bielsko-Biała;śląskie;Polska;1,2;
754;M10154015903;04.01.2021;03.01.2022;450000;TAK;Trzebnicka 9;50-245;Wrocław;dolnośląskie;Polska;1,2;
755;M10154015904;04.01.2022;03.01.2023;450000;TAK;Trzebnicka 9;50-245;Wrocław;dolnośląskie;Polska;1,2;
756;M1015442610;17.04.2021;16.04.2022;710000;TAK;Wąwozowa 6;02-796;Warszawa;mazowieckie;Polska;1,2;
757;M10154790004;25.07.2021;24.07.2022;225000;TAK;Powstańców 36;63-930;Jutrosin;wielkopolskie;Polska;1,2;
758;M10155070004;15.07.2021;14.07.2022;270000;TAK;Nubijska 8;03-977;Warszawa;mazowieckie;Polska;1,2;
759;M10155090704;28.07.2021;27.07.2022;521460;TAK;Grabowa 9;05-500;Piaseczno;mazowieckie;Polska;1,2;
760;M1015511310;22.04.2021;21.04.2022;170000;TAK;Wawrzyńca Surowieckiego 8;02-785;Warszawa;mazowieckie;Polska;1,2;
761;M10155179904;09.08.2021;08.08.2022;520000;TAK;Jastrzębia 7;83-200;Koteże;pomorskie;Polska;1,2;
762;M1015545910;09.04.2021;08.04.2022;370000;TAK;Kingi 30B;41-711;Ruda Śląska;śląskie;Polska;1,2;
763;M10155528204;15.07.2021;14.07.2022;210000;TAK;Sportowa 1;95-083;Lutomiersk;łódzkie;Polska;1,2;
764;M10155888004;13.07.2021;12.07.2022;100000;TAK;Okrężna 11;88-192;Piechcin;kujawsko-pomorskie;Polska;1,2;
765;M10155907004;13.07.2021;12.07.2022;320000;TAK;Ciosnowska 103;95-100;Zgierz;łódzkie;Polska;1,2;
766;M10156021604;13.07.2021;12.07.2022;370000;TAK;Polna 34;27-440;Ćmielów;świętokrzyskie;Polska;1,2;
767;M10156164004;19.07.2021;18.07.2022;251500;TAK;Chłodna 1;64-360;Zbąszyń;wielkopolskie;Polska;1,2;
768;M10156790604;13.07.2021;12.07.2022;384000;TAK;Helenki 27;05-555;Stefanówka;mazowieckie;Polska;1,2;
769;M10156847904;18.07.2021;17.07.2022;420000;TAK;Starzyńskiego 106;39-200;Dębica;podkarpackie;Polska;1,2;
770;M10157714004;13.07.2021;12.07.2022;183000;TAK;Krukowska 186J;27-600;Sandomierz;świętokrzyskie;Polska;1,2;
771;M10158882004;20.07.2021;19.07.2022;180000;TAK;Krobska 3;63-842;Pudliszki;wielkopolskie;Polska;1,2;
772;M1015889210;26.04.2021;25.04.2022;330000;TAK;Nasielska 30;04-336;Warszawa;mazowieckie;Polska;1,2;
773;M10158930704;13.07.2021;12.07.2022;340000;TAK;Zaściankowa 12B;05-240;Tłuszcz;mazowieckie;Polska;1,2;
774;M10159018404;13.07.2021;12.07.2022;310000;TAK;Lazurowa 24;01-315;Warszawa;mazowieckie;Polska;1,2;
775;M10159049204;14.07.2021;13.07.2022;210000;TAK;Jana Kilińskiego 8;28-200;Staszów;świętokrzyskie;Polska;1,2;
776;M1015906710;26.04.2021;25.04.2022;200000;TAK;Lubostroń 33;30-383;Kraków;małopolskie;Polska;1,2;
777;M10159081204;19.07.2021;18.07.2022;220000;TAK;Bolimowska 14/18b;99-400;Łowicz;łódzkie;Polska;1,2;
778;M10159258304;31.08.2021;30.08.2022;610000;TAK;Ślusarska 9;84-230;Rumia;pomorskie;Polska;1,2;
779;M10159360104;15.07.2021;14.07.2022;260000;TAK;Papieża Jana Pawła II 8;41-940;Piekary Śląskie;śląskie;Polska;1,2;
780;M1015938010;25.04.2021;24.04.2022;300000;TAK;Słoneczna 18;82-400;Sztum;pomorskie;Polska;1,2;
781;M10159776104;16.07.2021;15.07.2022;300000;TAK;Skarbka z Gór 15j;03-287;Warszawa;mazowieckie;Polska;1,2;
782;M1015989110;14.10.2021;13.10.2022;290000;TAK;Boręty Drugie 68A;82-224;Lichnowy;pomorskie;Polska;1,2;
783;M10159995404;04.08.2021;03.08.2022;460000;TAK;Zygmunta Grudzińskiego 7C;62-020;Swarzędz;wielkopolskie;Polska;1,2;
784;M1016017110;02.06.2021;01.06.2022;654000;TAK;Wiśniowa 46b;65-540;Zielona Góra;lubuskie;Polska;1,2;
785;M1016018810;25.04.2021;24.04.2022;210000;TAK;Adama Mickiewicza 70;01-650;Warszawa;mazowieckie;Polska;1,2;
786;M10160240504;13.07.2021;12.07.2022;310000;TAK;Zdrojowa 17;44-350;Gorzyczki;śląskie;Polska;1,2;
787;M10160449704;13.07.2021;12.07.2022;325000;TAK;Armii Krajowej 50A;09-410;Płock;mazowieckie;Polska;1,2;
788;M1016076610;01.05.2021;30.04.2022;500000;TAK;Kaborno 25;11-030;Purda;warmińsko-mazurskie;Polska;1,2;
789;M10160925704;17.07.2021;16.07.2022;275000;TAK;Pułaskiego 6A;14-300;Morąg;warmińsko-mazurskie;Polska;1,2;
790;M10161070604;01.08.2021;31.07.2022;410000;TAK;Powstańców 47d;05-091;Ząbki;mazowieckie;Polska;1,2;
791;M10161167404;13.07.2021;12.07.2022;222000;TAK;Równe 144;48-100;Równe;opolskie;Polska;1,2;
792;M10161345804;01.10.2021;30.09.2022;140000;TAK;Jaworowa 13;46-300;Olesno;opolskie;Polska;1,2;
793;M10161356104;12.07.2021;11.07.2022;610000;TAK;Adama Branickiego 21;02-972;Warszawa;mazowieckie;Polska;1,2;
794;M10161359904;15.07.2021;14.07.2022;250000;TAK;Erazma z Zakroczymia 13;03-185;Warszawa;mazowieckie;Polska;1,2;
795;M10161361604;13.07.2021;12.07.2022;150000;TAK;Rusznikarska 3;31-261;Kraków;małopolskie;Polska;1,2;
796;M10161371004;30.07.2021;29.07.2022;415000;TAK;Działkowa 21;59-150;Grębocice;dolnośląskie;Polska;1,2;
797;M10161389404;13.07.2021;12.07.2022;717000;TAK;Słowików 14;41-717;Ruda Śląska;śląskie;Polska;1,2;
798;M10161633504;24.07.2021;23.07.2022;124000;TAK;Nowowiejska 29A;11-500;Giżycko;warmińsko-mazurskie;Polska;1,2;
799;M10161720304;21.07.2021;20.07.2022;330000;TAK;Hoża 14;62-800;Kalisz;wielkopolskie;Polska;1,2;
800;M1016202410;20.04.2021;19.04.2022;140000;TAK;Wiekowo 4;76-150;Wiekowo;zachodniopomorskie;Polska;1,2;
801;M10162562204;13.07.2021;12.07.2022;220000;TAK;Pakosławska 36;51-126;Wrocław;dolnośląskie;Polska;1,2;
802;M10162569204;28.07.2021;27.07.2022;305000;TAK;Mieszka I 3;55-330;Wróblowice;dolnośląskie;Polska;1,2;
803;M1016321910;01.05.2021;30.04.2022;440000;TAK;Krasińskiego 73;32-660;Chełmek;małopolskie;Polska;1,2;
804;M1016398510;01.05.2021;30.04.2022;857881,14;TAK;Ludwika Rydygiera 15;01-793;Warszawa;mazowieckie;Polska;1,2;
805;M1016455410;05.05.2021;04.05.2022;360000;TAK;Diamentowa (Wesoła) 7;05-077;Warszawa;mazowieckie;Polska;1,2;
806;M1016459310;26.04.2021;25.04.2022;70000;TAK;Os. Przyjaźni 15;61-688;Poznań;wielkopolskie;Polska;1,2;
807;M10164974504;18.07.2021;17.07.2022;230000;TAK;Stefana Czarnieckiego 20;59-220;Legnica;dolnośląskie;Polska;1,2;
808;M1016543410;20.04.2021;19.04.2022;560000;TAK;Gdańska 2;01-633;Warszawa;mazowieckie;Polska;1,2;
809;M1016566910;20.04.2021;19.04.2022;560000;TAK;Bieżanowska 4a;02-655;Warszawa;mazowieckie;Polska;1,2;
810;M10165840704;14.07.2021;13.07.2022;450000;TAK;Liliowa 20;95-040;Żakowice;łódzkie;Polska;1,2;
811;M10165844604;14.07.2021;13.07.2022;180000;TAK;Dożynkowa 38;52-311;Wrocław;dolnośląskie;Polska;1,2;
812;M10165856604;27.08.2021;26.08.2022;880000;TAK;Jakuba Jasińskiego 17;05-230;Kobyłka;mazowieckie;Polska;1,2;
813;M10165866604;15.07.2021;14.07.2022;425000;TAK;Jana Wasilkowskiego 14;02-776;Warszawa;mazowieckie;Polska;1,2;
814;M10167137704;29.09.2021;28.09.2022;250000;TAK;Tęczowa 56;62-064;Plewiska;wielkopolskie;Polska;1,2;
815;M10167145704;16.08.2021;15.08.2022;165000;TAK;Młyńska 1A;72-300;Gryfice;zachodniopomorskie;Polska;1,2;
816;M10167146304;04.08.2021;03.08.2022;450000;TAK;Pasłęcka 14c;03-137;Warszawa;mazowieckie;Polska;1,2;
817;M10167146504;18.08.2021;17.08.2022;830000;TAK;Jodłowa 6;05-074;Hipolitów;mazowieckie;Polska;1,2;
818;M10167148504;16.07.2021;15.07.2022;500000;TAK;Obywatelska 9;44-280;Rydułtowy;śląskie;Polska;1,2;
819;M10167149404;21.07.2021;20.07.2022;750000;TAK;Smolna 1c;56-400;Smolna;dolnośląskie;Polska;1,2;
820;M1016715410;20.04.2021;19.04.2022;410000;TAK;NMP Królowej Rodzin 23;15-684;Białystok;podlaskie;Polska;1,2;
821;M10167157404;15.11.2021;14.11.2022;140000;TAK;Tadeusza Kościuszki 8;64-520;Obrzycko;wielkopolskie;Polska;1,2;
822;M10167171804;17.07.2021;16.07.2022;820000;TAK;Morszyńska 67;02-925;Warszawa;mazowieckie;Polska;1,2;
823;M10167372604;16.08.2021;15.08.2022;450000;TAK;Kręta 2B;62-023;Dachowa;wielkopolskie;Polska;1,2;
824;M10167384604;18.08.2021;17.08.2022;200000;TAK;Jana Kiepury 8;22-400;Zamość;lubelskie;Polska;1,2;
825;M10167389704;01.08.2021;31.07.2022;170000;TAK;Adama Mickiewicza 29b;17-100;Bielsk Podlaski;podlaskie;Polska;1,2;
826;M10167390104;14.07.2021;13.07.2022;186000;TAK;Zielone Zacisze 1;03-294;Warszawa;mazowieckie;Polska;1,2;
827;M1016749010;25.08.2021;24.08.2022;320000;TAK;Młodych Techników 14;53-646;Wrocław;dolnośląskie;Polska;1,2;
828;M10167760804;14.07.2021;13.07.2022;360000;TAK;Dworcowa 38;05-500;Piaseczno;mazowieckie;Polska;1,2;
829;M1016827410;21.04.2021;20.04.2022;300000;TAK;Stefana Batorego 79A;60-687;Poznań;wielkopolskie;Polska;1,2;
830;M10168283404;01.09.2021;31.08.2022;300000;TAK;Leśne 9;62-028;Koziegłowy;wielkopolskie;Polska;1,2;
831;M1016843710;01.06.2021;31.05.2022;210000;TAK;Chodecka 10;03-350;Warszawa;mazowieckie;Polska;1,2;
832;M10169100604;14.07.2021;13.07.2022;230000;TAK;Pogodna 27;22-600;Łaszczówka;lubelskie;Polska;1,2;
833;M10169182204;14.07.2021;13.07.2022;650000;TAK;Żarnowiec 23;32-048;Jerzmanowice;małopolskie;Polska;1,2;
834;M1016962010;16.04.2021;15.04.2022;320000;TAK;Widawska 3;01-494;Warszawa;mazowieckie;Polska;1,2;
835;M10169990904;29.08.2021;28.08.2022;320000;TAK;Gorło 17A;19-330;Gorło;warmińsko-mazurskie;Polska;1,2;
836;M10169999304;14.07.2021;13.07.2022;155000;TAK;Bazylijska 54;95-100;Zgierz;łódzkie;Polska;1,2;
837;M1017002610;19.04.2021;18.04.2022;155000;TAK;Stawy 12;02-467;Warszawa;mazowieckie;Polska;1,2;
838;M10170119204;14.07.2021;13.07.2022;302000;TAK;Wielicka 42A;30-552;Kraków;małopolskie;Polska;1,2;
839;M10170283704;14.07.2021;13.07.2022;330000;TAK;Dywizjonu 303 6;83-000;Pruszcz Gdański;pomorskie;Polska;1,2;
840;M1017050910;29.04.2021;28.04.2022;420000;TAK;Owiesno 71;58-262;Ostroszowice;dolnośląskie;Polska;1,2;
841;M10170963604;08.08.2021;07.08.2022;473520;TAK;Orchowskiego 2;62-590;Golina;wielkopolskie;Polska;1,2;
842;M10170969404;14.07.2021;13.07.2022;285000;TAK;Emilii Sczanieckiej 89;64-310;Lwówek;wielkopolskie;Polska;1,2;
843;M10171113604;14.07.2021;13.07.2022;300000;TAK;Zaciszna 18;95-035;Ozorków;łódzkie;Polska;1,2;
844;M1017115110;03.05.2021;02.05.2022;170000;TAK;Cegielniana 16;66-460;Witnica;lubuskie;Polska;1,2;
845;M10171182204;15.07.2021;14.07.2022;170000;TAK;Pułaskiego 2;39-300;Mielec;podkarpackie;Polska;1,2;
846;M10172037204;14.07.2021;13.07.2022;510000;TAK;Krótka 7;62-010;Pobiedziska;wielkopolskie;Polska;1,2;
847;M10172069304;14.07.2021;13.07.2022;270000;TAK;Na Skraju 2;62-300;Gutowo Małe;wielkopolskie;Polska;1,2;
848;M1017281810;15.06.2021;14.06.2022;300000;TAK;Sitowie 20;91-495;Łódź;łódzkie;Polska;1,2;
849;M1017283010;01.06.2021;31.05.2022;400000;TAK;Linowo 18/2;10-687;Linowo;warmińsko-mazurskie;Polska;1,2;
850;M10173204904;14.07.2021;13.07.2022;340000;TAK;Środkowa 100A;62-065;Grodzisk Wielkopolski;wielkopolskie;Polska;1,2;
851;M1017337010;18.04.2021;17.04.2022;190000;TAK;Jagiellońska 10M;80-371;Gdańsk;pomorskie;Polska;1,2;
852;M1017338010;08.05.2021;07.05.2022;560000;TAK;Wiśniowa 12;07-410;Ostrołęka;mazowieckie;Polska;1,2;
853;M1017372010;15.04.2021;14.04.2022;293000;TAK;Albatrosów 4B;05-500;Piaseczno;mazowieckie;Polska;1,2;
854;M10174284004;20.07.2021;19.07.2022;260000;TAK;Świerkowa 4;57-100;Pławna;dolnośląskie;Polska;1,2;
855;M10174873304;14.07.2021;13.07.2022;350000;TAK;Słopanowo 7;64-520;Słopanowo;wielkopolskie;Polska;1,2;
856;M10174893204;14.07.2021;13.07.2022;210000;TAK;Dworcowa 9;78-100;Kołobrzeg;zachodniopomorskie;Polska;1,2;
857;M10175085704;17.07.2021;16.07.2022;205000;TAK;Wichrowe Wzgórze 16;61-676;Poznań;wielkopolskie;Polska;1,2;
858;M10175089304;14.07.2021;13.07.2022;150000;TAK;Góralska 57b;80-292;Gdańsk;pomorskie;Polska;1,2;
859;M10175092104;22.07.2021;21.07.2022;110000;TAK;Aleja Bzów 48;02-495;Warszawa;mazowieckie;Polska;1,2;
860;M10175109704;08.08.2021;07.08.2022;230000;TAK;Gliwicka 9;47-246;Ortowice;opolskie;Polska;1,2;
861;M10175172904;14.07.2021;13.07.2022;90000;TAK;Gorzowska 67;74-320;Barlinek;zachodniopomorskie;Polska;1,2;
862;M10175349604;28.07.2021;27.07.2022;1030000;TAK;Pruszkowska 29;02-119;Warszawa;mazowieckie;Polska;1,2;
863;M10175624504;17.07.2021;16.07.2022;280000;TAK;Syreny 3;01-132;Warszawa;mazowieckie;Polska;1,2;
864;M10175636404;19.07.2021;18.07.2022;572800;TAK;Szkolna 17b;05-110;Jabłonna;mazowieckie;Polska;1,2;
865;M10175644404;01.09.2021;31.08.2022;510000;TAK;Jana Kazimierza 12;01-248;Warszawa;mazowieckie;Polska;1,2;
866;M10175660604;14.07.2021;13.07.2022;180000;TAK;Wojciecha Kętrzyńskiego 5;10-506;Olsztyn;warmińsko-mazurskie;Polska;1,2;
867;M10175727304;14.07.2021;13.07.2022;265000;TAK;Ostrowska 64;62-800;Kalisz;wielkopolskie;Polska;1,2;
868;M1017601010;20.09.2021;19.09.2022;440000;TAK;Eskimoska 4;03-289;Warszawa;mazowieckie;Polska;1,2;
869;M10176400204;14.07.2021;13.07.2022;720000;TAK;Łucka 15;00-842;Warszawa;mazowieckie;Polska;1,2;
870;M10176414003;17.02.2021;16.02.2022;215000;TAK;Samorządowa 4a;59-225;Chojnów;dolnośląskie;Polska;1,2;
871;M10176415904;19.07.2021;18.07.2022;275000;TAK;Słoneczna 83E;40-136;Katowice;śląskie;Polska;1,2;
872;M10176420504;24.09.2021;23.09.2022;980000;TAK;Wojciecha Gersona 5;51-664;Wrocław;dolnośląskie;Polska;1,2;
873;M10176427004;05.09.2021;04.09.2022;350000;TAK;Międzynarodowa 38/40a;03-922;Warszawa;mazowieckie;Polska;1,2;
874;M10176427304;05.09.2021;04.09.2022;200000;TAK;Komorska 11/15;04-161;Warszawa;mazowieckie;Polska;1,2;
875;M1017655410;15.12.2021;14.12.2022;340000;TAK;Krucza 23/31;00-525;Warszawa;mazowieckie;Polska;1,2;
876;M1017662810;01.06.2021;31.05.2022;180000;TAK;Dworcowa 7;47-450;Krzyżanowice;śląskie;Polska;1,2;
877;M10176642004;15.07.2021;14.07.2022;375000;TAK;Wileńska 80;05-200;Wołomin;mazowieckie;Polska;1,2;
878;M10176786504;01.08.2021;31.07.2022;690000;TAK;Grabowa 8e;62-025;Siekierki Wielkie;wielkopolskie;Polska;1,2;
879;M10176805104;14.07.2021;13.07.2022;530000;TAK;Grochowice 90a;67-240;Grochowice;dolnośląskie;Polska;1,2;
880;M10176813204;19.08.2021;18.08.2022;377000;TAK;gen. mjr. Jana Grochowskiego 11;05-500;Piaseczno;mazowieckie;Polska;1,2;
881;M1017694710;19.05.2021;18.05.2022;100000;TAK;Rembielińska 8a;03-343;Warszawa;mazowieckie;Polska;1,2;
882;M10177104704;30.07.2021;29.07.2022;460000;TAK;Ełganowska 5;83-034;Trąbki Wielkie;pomorskie;Polska;1,2;
883;M1017721310;20.04.2021;19.04.2022;420000;TAK;Kasztanowa 38;64-930;Dolaszewo;wielkopolskie;Polska;1,2;
884;M1017726010;15.04.2021;14.04.2022;120000;TAK;Grota Roweckiego 17;41-907;Bytom;śląskie;Polska;1,2;
885;M1017746710;16.04.2021;15.04.2022;270000;TAK;Stawowa 2;42-122;Ostrowy nad Okszą;śląskie;Polska;1,2;
886;M10177630604;15.07.2021;14.07.2022;310000;TAK;Dźwigowa 3;02-437;Warszawa;mazowieckie;Polska;1,2;
887;M1017831710;30.04.2021;29.04.2022;343778;TAK;Nowoursynowska 145E;02-776;Warszawa;mazowieckie;Polska;1,2;
888;M10178498704;15.07.2021;14.07.2022;360000;TAK;Chmielnik-Kolonia 58;24-200;Chmielnik-Kolonia;lubelskie;Polska;1,2;
889;M10179704604;29.07.2021;28.07.2022;300000;TAK;Białobrzeska 7;05-230;Kobyłka;mazowieckie;Polska;1,2;
890;M1017972610;01.10.2021;30.09.2022;240000;TAK;Marysieńki 2;05-120;Legionowo;mazowieckie;Polska;1,2;
891;M1017978910;22.04.2021;21.04.2022;830000;TAK;Ogrodnicza 6a;31-444;Kraków;małopolskie;Polska;1,2;
892;M10179861804;15.07.2021;14.07.2022;200000;TAK;Stare Leśne Bohatery 6;16-315;Stare Leśne Bohatery;podlaskie;Polska;1,2;
893;M1017997710;16.05.2021;15.05.2022;270000;TAK;Mazowiecka 11;80-297;Banino;pomorskie;Polska;1,2;
894;M1018012310;01.05.2021;30.04.2022;430000;TAK;Hawajska 12;02-776;Warszawa;mazowieckie;Polska;1,2;
895;M1018015810;28.04.2021;27.04.2022;240000;TAK;Władysława Łokietka 9;88-100;Inowrocław;kujawsko-pomorskie;Polska;1,2;
896;M1018017910;17.04.2021;16.04.2022;120000;TAK;Pszczelińska 8;05-840;Brwinów;mazowieckie;Polska;1,2;
897;M1018087210;24.04.2021;23.04.2022;310000;TAK;Lipowa 17;59-950;Ruszów;dolnośląskie;Polska;1,2;
898;M10181505304;24.07.2021;23.07.2022;500000;TAK;Norberta Barlickiego 23b;26-617;Radom;mazowieckie;Polska;1,2;
899;M10181506204;18.07.2021;17.07.2022;50000;TAK;Grójecka 101;02-101;Warszawa;mazowieckie;Polska;1,2;
900;M10181506504;15.07.2021;14.07.2022;450000;TAK;Ząbkowicka 52a;42-523;Dąbrowa Górnicza;śląskie;Polska;1,2;
901;M10181508804;19.07.2021;18.07.2022;300000;TAK;Słonin 34b;64-020;Słonin;wielkopolskie;Polska;1,2;
